price,rooms,area,floor,total_floor,district,"address",ZHK,type,year
11100000,1,31,1,4,Ауэзов,мкр. №12,,панельный,1969
26800000,4,78,2,4,Алмалы,"мкр. Тастак-2, Тлендиева 2 г",,кирпичный,1969
13000000,1,31,3,4,Ауэзов,мкр. №1,,панельный,1967
15990000,2,"42,5",3,4,Ауэзов,мкр. №6 10А,,панельный,1969
42000000,2,"65,5",,4,Бостандык,Сыргабекова 55,Венский дом,,2018
29500000,3,"61,2",1,4,Бостандык,"мкр. Коктем-2 6, Тимирязева",,,1972
135000000,3,130,4,6,Бостандык,Жарокова — Си Синхая,Ботанический Cад,монолитный,2004
20990000,2,"62,4",1,9,Наурызбай,мкр. Шугыла 341/1 к5,Шугыла,монолитный,2019
20000000,1,42,5,13,Ауэзов,Утеген батыра 17б/3,UTEGEN,,2017
22000000,2,39,2,5,Бостандык,Тимирязева 57В,,кирпичный,1961
13400000,1,30,4,4,Ауэзов,"мкр. №1, Айриха 74 — Жубанова",,панельный,1970
16800000,1,"45,3",2,13,Ауэзов,"мкр. Аксай-5 3б, Жубанова",Арыстан,монолитный,2015
36500000,2,74,2,11,Ауэзов,"мкр. Мамыр-1, Шаляпина — Момышулы",Ак жол - Отау,монолитный,2016
127075000,4,"195,5",,10,Медеу,Рубинштейна 21А,Клубный дом DeVille,,2017
43000000,4,"85,5",5,5,Алмалы,улица Жарокова,,кирпичный,1993
35000000,5,150,1,2,Алатау,ул. Мойылды 1/9,КГ Карасу,,2019
13999000,2,41,1,3,Турксиб,Турксибский район 263 — Пр. Суюнбая,,кирпичный,1955
18600000,3,60,2,4,Ауэзов,"мкр. №1, 1-й 44 — проспект Улугбека",,панельный,1963
16500000,1,"30,7",1,5,Бостандык,"мкр. Алмагуль 14, Ходжанова",,панельный,1980
14500000,1,40,1,3,Бостандык,Сатпаева 42 — Жарокова,,кирпичный,1954
25500000,1,54,9,9,,Наурызбай батыра 6 — Тимирязева,Керемет,,2004
54600000,3,115,,15,,Наурызбай батыра 50 — Жибек Жолы,Arbat,,2019
590000000,8,420,5,6,Медеу,Ospanova 69,,кирпичный,2012
18000000,3,58,4,4,Ауэзов,мкр. №2,,панельный,1965
42000000,2,62,2,5,Медеу,Зенкова 86,,кирпичный,1973
46000000,3,94,10,15,Алмалы,Масанчи 23 — Гоголя,Евразия,монолитный,2015
52000000,3,110,11,16,Бостандык,"мкр. Орбита-1, Торайгырова 19а — Саина",Толе би Тау,монолитный,2010
275000000,4,250,2,3,Медеу,Керей-Жәнібек хандар 276/15,Арман Вилла,монолитный,2009
23900000,3,71,8,9,Алмалы,"мкр. Тастак-2, Тастак 2 — Дуйсенова",,панельный,1985
45948000,3,"109,4",,12,Бостандык,Торайгырова — Мустафина,Sholpan City,,2019
30000000,2,55,12,12,Медеу,мкр. Самал-2 77,,,1979
70000000,4,137,16,25,Бостандык,ул. Абиша Кекильбаева 38 А — ул. Торайгырова,Mega Tower Almaty,,2014
17500000,1,"30,9",4,5,Бостандык,мкр. Орбита-2 23,,панельный,1975
145000000,4,242,5,5,Медеу,Тулебаева 114 А — Богенбай батыра,,монолитный,2007
88000000,4,145,7,13,Бостандык,"мкр. Керемет, Тимирязева 5 — Науырызбая",Керемет,кирпичный,2009
8000000,1,22,2,4,Ауэзов,"мкр. Сайран 1, Абая-Утеген Батыра",,кирпичный,1971
120000000,5,250,16,17,Бостандык,Абая 150/230 — Тургут Озала,Гаухартас,,2010
26000000,3,"52,4",1,2,Турксиб,Б. Майлина 15 — Огарева,,кирпичный,1957
80000000,3,200,,,Бостандык,Аль-Фараби 47 — Маркова,Горстрой,монолитный,2007
127400000,4,196,,10,Медеу,Рубинштейна 21А,Клубный дом DeVille,,2017
29000000,3,70,5,5,Бостандык,Радостовца 152/2,,кирпичный,1972
46092000,1,"66,8",,4,Бостандык,Сыргабекова 55,Венский дом,,2018
60000000,3,116,10,12,Бостандык,Байкадамова,Южный Дуэт,монолитный,2011
59000000,3,119,,15,,Наурызбай батыра 50,Arbat,,2019
130000000,4,200,,10,Медеу,Рубинштейна 21А,Клубный дом DeVille,,2017
50988000,3,"121,4",,12,Бостандык,Торайгырова — Мустафина,Sholpan City,,2019
83835000,3,"121,5",,4,Бостандык,Сыргабекова 55,Венский дом,,2018
76000000,3,101,6,6,,Мади 1/1,Наурыз,монолитный,2009
16000000,2,43,2,6,Наурызбай,"мкр. Шугыла, Жунисова 10 к 17",Alma City,монолитный,2019
60900000,4,"135,1",,15,,Наурызбай батыра 50 — Жибек Жолы,Arbat,,2019
54474000,4,"129,7",,12,Бостандык,Торайгырова — Мустафина,Sholpan City,,2019
61000000,3,123,,15,,Наурызбай батыра 50,Arbat,,2019
45500000,2,84,5,16,Алмалы,Масанчи 23/5 — Гоголя,Евразия,монолитный,2015
23000000,3,58,1,4,Ауэзов,"мкр. №2, 2 28",,панельный,1968
80000000,3,120,10,14,Алмалы,Айманова 65 — Джанбула,Алма-Ата,,2012
34980000,3,87,6,10,Ауэзов,"мкр. Аксай-1, Саина 10/3",Самга,монолитный,2014
33500000,3,132,2,16,Наурызбай,Жуалы,Премьера,монолитный,2013
14000000,1,40,6,10,Наурызбай,"мкр. Шугыла, Жунисова 4/7",Alma City,монолитный,2018
23000000,2,108,13,16,Наурызбай,Жуалы,Премьера,монолитный,2014
49900000,3,68,3,5,Бостандык,"мкр. Коктем-2 16, Мусрепова",,кирпичный,1982
16600000,1,65,7,16,Наурызбай,Жуалы,Премьера,монолитный,2014
3000000,2,"41,7",5,5,Жетысу,мкр. Айнабулак-2 57,,монолитный,1984
24000000,2,108,5,16,Наурызбай,Жуалы,Премьера,монолитный,2014
45000000,4,"97,1",1,5,Медеу,Калдаякова — Джамбула,,кирпичный,1975
14490000,1,"32,2",,12,Бостандык,Торайгырова — Мустафина,Sholpan City,,2019
24400400,1,"43,3",,15,,Наурызбай батыра 50 — Жибек Жолы,Arbat,,2019
26300000,3,70,11,12,Алатау,"мкр. Акбулак, 3-я ул 33/1 — 3я улица",Alatau City,монолитный,2018
18300000,2,"42,1",4,4,Бостандык,Жарокова — Выше Тимирязева (возле Атакента),,кирпичный,1963
37000000,3,97,6,11,Ауэзов,мкр. Жетысу-3,Жетысу,монолитный,2011
19999999,2,"58,5",5,5,Жетысу,"мкр. Кулагер 74, Омарова/Серикова",,монолитный,2007
15500000,2,46,2,4,Ауэзов,мкр. №3,,панельный,1963
220000000,5,226,4,22,Ауэзов,Аскарова 8,Apple Town,монолитный,2012
12000000,1,"36,3",8,12,Алмалы,мкр. Аксай-1А,,панельный,1998
172000000,5,257,5,7,Алмалы,Есенберлина,,монолитный,2013
26500000,4,80,2,4,Алмалы,Тлендиева,,кирпичный,1969
33764500,3,"87,7",13,13,Алмалы,Макатаева 131к4 — Муратбаева,,монолитный,2019
30500000,2,56,8,9,Медеу,"мкр. Самал-2 56, Аль-Фараби",,монолитный,1992
25000000,1,"43,7",,15,,Наурызбай батыра 50 — Жибек Жолы,Arbat,,2019
15120000,1,"33,6",,12,Бостандык,Торайгырова — Мустафина,Sholpan City,,2019
89000000,3,110,9,9,Медеу,мкр. Самал-3 49,Royal,,2014
28000000,3,"70,1",2,5,Жетысу,мкр. Айнабулак-3 161,,панельный,1991
79800000,6,300,,,Ауэзов,"мкр. Дубок-2 1/8, Цветочная",,кирпичный,2015
35500000,4,86,9,9,Ауэзов,мкр. Таугуль-1,,,1994
29000000,2,"70,5",7,10,Ауэзов,"мкр. №3, 3-й 19/1",Атлас,монолитный,2015
34200000,3,80,5,5,Алмалы,Кожамкулова 188,,кирпичный,1988
120000000,5,214,5,10,Медеу,Достык 112 — Сатпаева,КУАT,монолитный,2004
25000000,3,"62,2",1,5,Алмалы,Макатаева 186 — Шарипова,,панельный,1970
42000000,3,103,4,7,Алмалы,Нурмакова 79,Акмарал,кирпичный,2009
20500000,3,68,5,5,Турксиб,Майлина,,кирпичный,1985
17000000,3,58,1,2,Жетысу,"мкр. Айнабулак-4, Северное Кольцо 37/1",,панельный,1970
